,game_edition,sale,game_pic,final_price,game_links,console_edition,date,original_price,save_text,offer_ends,game_name
0,Standard,0,https://image.api.playstation.com/vulcan/ap/rnd/202212/0522/LyMvvtJKdWnMS9JsqxobPYAP.jpg,€79.99,https://store.playstation.com//en-gr/product/EP0002-PPSA08595_00-DIVGAMEDELUXE001,PS4-PS5,2023-09-23,,,,Diablo IV
1,Deluxe,0,https://image.api.playstation.com/vulcan/ap/rnd/202212/0618/1KaGPolBArRz0vCsbLO3ziuD.jpg,€99.99,https://store.playstation.com//en-gr/product/EP0002-PPSA08595_00-DIVGAMEDELUXE001,PS4-PS5,2023-09-23,,,,Diablo IV
2,Ultimate,0,https://image.api.playstation.com/vulcan/ap/rnd/202212/0622/hL3WI5ugAaRlXJLGC13aW5D1.jpg,€109.99,https://store.playstation.com//en-gr/product/EP0002-PPSA08595_00-DIVGAMEDELUXE001,PS4-PS5,2023-09-23,,,,Diablo IV
3,Standard Edition,0,https://image.api.playstation.com/vulcan/ap/rnd/202207/1210/aqZdSwWyy9JcQ66BxHDKrky6.jpg,€69.99,https://store.playstation.com//en-gr/product/EP9000-PPSA08331_00-GOWRAGNAROK00000,PS4,2023-09-23,,,,God of War Ragnarok
4,Standard Edition,0,https://image.api.playstation.com/vulcan/ap/rnd/202207/1210/aqZdSwWyy9JcQ66BxHDKrky6.jpg,€79.99,https://store.playstation.com//en-gr/product/EP9000-PPSA08331_00-GOWRAGNAROK00000,PS4-PS5,2023-09-23,,,,God of War Ragnarok
5,Digital Deluxe Edition,0,https://image.api.playstation.com/vulcan/ap/rnd/202207/1117/4uH3OH4dQtHMe2gmdFuth02u.jpg,€89.99,https://store.playstation.com//en-gr/product/EP9000-PPSA08331_00-GOWRAGNAROK00000,PS4-PS5,2023-09-23,,,,God of War Ragnarok
6,Standard Edition,0,https://image.api.playstation.com/vulcan/ap/rnd/202211/3007/JnzRCl2Yj208yuJoSfoGXMGt.jpg,€79.99,https://store.playstation.com//en-gr/product/EP0082-PPSA10665_00-FF16SIEE00000002,-,2023-09-23,,,,FINAL FANTASY XVI
7,Digital Deluxe Edition,0,https://image.api.playstation.com/vulcan/ap/rnd/202306/1613/ec58ee8fe5e28acea5de2e715d471340fab5cce8531dd1a3.jpg,€99.99,https://store.playstation.com//en-gr/product/EP0082-PPSA10665_00-FF16SIEE00000002,-,2023-09-23,,,,FINAL FANTASY XVI
8,MWIII Cross-Gen,0,https://image.api.playstation.com/vulcan/ap/rnd/202308/1415/a43f7a9e28b0ff81d82f9a83bc85d5d5fe59b6f7bdd6828f.jpg,€79.99,https://store.playstation.com//en-gr/product/EP0002-PPSA07950_00-CODMW3VAULT00001,PS4-PS5,2023-09-23,,,,Call of Duty Modern Warfare 3
9,MWIII Vault,0,https://image.api.playstation.com/vulcan/ap/rnd/202308/1501/546cc30c31f897ac5ed6f021e4f44b42c0fcd350700f5f77.jpg,€109.99,https://store.playstation.com//en-gr/product/EP0002-PPSA07950_00-CODMW3VAULT00001,PS4-PS5,2023-09-23,,,,Call of Duty Modern Warfare 3
10,MWII Cross-Gen,1,https://image.api.playstation.com/vulcan/ap/rnd/202205/2800/iQGgKYUg9YwjPVNM0kE8jeRN.jpg,€39.99,https://store.playstation.com//en-gr/product/EP0002-PPSA07950_00-CODMW3VAULT00001,PS4-PS5,2023-09-23,€79.99,Save 50%,Offer ends 27/9/2023 10:59 PM UTC,Call of Duty Modern Warfare 3
