,game_name,game_links,release_date,genre
0,Diablo IV,https://store.playstation.com//en-gr/product/EP0002-PPSA08595_00-DIVGAMEDELUXE001,1/6/2023,Unique
1,God of War Ragnarok,https://store.playstation.com//en-gr/product/EP9000-CUSA34388_00-GOWRAGNAROK00000,8/11/2022,Action
2,FINAL FANTASY XVI,https://store.playstation.com//en-gr/product/EP0082-PPSA10665_00-FF16DEMOEU000000,12/6/2023,"Action, Role Playing Games"
3,Call of Duty Modern Warfare 3,https://store.playstation.com//en-gr/product/EP0002-PPSA07950_00-CODMW3VAULT00001,2/11/2023,Action
4,Grand Theft Auto V,https://store.playstation.com//en-gr/product/EP1004-CUSA00411_00-GTAVDIGITALDOWNL,17/11/2014,"Action, Adventure"
5,Call of Duty Modern Warfare 2,https://store.playstation.com//en-gr/product/EP0002-CUSA07904_00-CODMW2RSTANDARD1,30/3/2020,Shooter
6,Street Fighter 6,https://store.playstation.com//en-gr/product/EP0102-PPSA02633_00-SF600000STANDARD,1/6/2023,Fighting
7,FIFA 23,https://store.playstation.com//en-gr/product/EP0006-CUSA31874_00-FIFAFOOTBALL2023,,
8,NBA 2K23,https://store.playstation.com//en-gr/product/EP1001-PPSA07170_00-VC10000000000000,7/9/2022,Sport
9,Star Wars Jedi: Survivor,https://store.playstation.com//en-gr/product/EP0006-PPSA07784_00-APPLEJACKGAME000,28/4/2023,Action
10,Hogwarts Legacy,https://store.playstation.com//en-gr/product/EP1018-PPSA01603_00-HOGWARTSLGCYDELX,9/2/2023,Unique
11,Marvel’s Spider-Man: Miles Morales,https://store.playstation.com//en-gr/product/EP9000-PPSA01460_00-MARVELSSMMDDE000,11/11/2020,Action
12,Elden Ring,https://store.playstation.com//en-gr/product/EP0700-PPSA04609_00-ELDENRING0000000,24/2/2022,Role Playing Games
13,Gran Turismo 7,https://store.playstation.com//en-gr/product/EP9001-CUSA24767_00-GT7STD0000000PS4,3/3/2022,Driving/Racing
14,Mortal Kombat 11 Ultimate,https://store.playstation.com//en-gr/product/EP1018-PPSA01619_00-MK11ULTIMATEKOLL,17/11/2020,"Fighting, Unique"
15,Horizon Forbidden West,https://store.playstation.com//en-gr/product/EP9000-PPSA01521_00-FORBIDDENWESTPS5,17/2/2022,Action
16,Tom Clancy's Rainbow Six: Siege,https://store.playstation.com//en-gr/product/EP0001-CUSA01788_00-RAINBOWSIXSIEGE0,30/11/2015,"Action, Action, Shooter"
